business;name;price range;review count;lat;lon;addr;city;state;categories
/biz/1-or-8-brooklyn;1 or 8;$31-60;345;40.714257;-73.965457;66 S 2nd St Brooklyn NY 11249;Brooklyn;NY;japanese,sushi
/biz/12-chairs-cafe-new-york;12 Chairs Cafe;$11-30;83;40.7144705;-73.9652225;342 Wythe Ave New York NY 11249;New York;NY;mideastern
/biz/abracadabra-brooklyn-williamsburg;Abracadabra Brooklyn;Under $10;50;40.7120808;-73.9626302;347 Bedford Ave Williamsburg NY 11211;Williamsburg;NY;turkish,newamerican,coffee
/biz/aska-brooklyn-3;Aska;Above $61;8;40.712488;-73.966419;47 S 5th St Brooklyn NY 11249;Brooklyn;NY;scandinavian,bars
/biz/banhdega-brooklyn-2;Banhdega;Under $10;6;40.7182131;-73.9576335;172 Bedford Ave Unit  1 Brooklyn NY 11249;Brooklyn;NY;vietnamese,coffee
/biz/bar-omar-brooklyn;Bar Omar;$11-30;55;40.7140803;-73.960835;188 Grand St Ground Fl Brooklyn NY 11211;Brooklyn;NY;mediterranean,moroccan,french
/biz/beehive-oven-biscuit-cafe-brooklyn;BeeHive Oven Biscuit Cafe;$11-30;471;40.7125678;-73.9604523;182 S 2nd St Brooklyn NY 11211;Brooklyn;NY;southern,cajun,breakfast_brunch
/biz/bep-brooklyn;Bep;$11-30;83;40.7124896;-73.9629493;Simple Cafe 346 Bedford Ave Brooklyn NY 11211;Brooklyn;NY;vietnamese
/biz/bia-brooklyn;Bia;$11-30;147;40.7113004;-73.965945;67 S 6th St Brooklyn NY 11211;Brooklyn;NY;bars,vietnamese
/biz/bistro-petit-brooklyn;Bistro Petit;$11-30;256;40.7119423;-73.9611872;170 S 3rd St Brooklyn NY 11211;Brooklyn;NY;newamerican,french,korean
/biz/black-flamingo-brooklyn;Black Flamingo;$11-30;48;40.710437;-73.953916;168 Borinquen Pl Brooklyn NY 11211;Brooklyn;NY;cocktailbars,vegetarian,danceclubs
/biz/blue-collar-brooklyn;Blue Collar;Under $10;188;40.7114104644;-73.9578148976;160 Havemeyer St Brooklyn NY 11211;Brooklyn;NY;burgers,hotdogs,hotdog
/biz/bozu-brooklyn;Bozu;$11-30;670;40.712827;-73.9575618;296 Grand St Brooklyn NY 11211;Brooklyn;NY;japanese,sushi,asianfusion
/biz/brickhouse-pizzeria-brooklyn;Brickhouse Pizzeria;Under $10;65;40.7115740463;-73.9630060676;357 Bedford Ave Brooklyn NY 11211;Brooklyn;NY;pizza,italian
/biz/briskettown-brooklyn-3;BrisketTown;$11-30;405;40.7114745;-73.9629507;359 Bedford Ave Brooklyn NY 11211;Brooklyn;NY;tradamerican,bbq
/biz/brooklyn-gourmet-deli-brooklyn;Brooklyn Gourmet Deli;Under $10;28;40.7131017;-73.9619861;313 Bedford Ave Brooklyn NY 11211;Brooklyn;NY;delis
/biz/bunk-brooklyn;Bunk;$11-30;66;40.7126689;-73.960794;740 Driggs Ave Brooklyn NY 11211;Brooklyn;NY;sandwiches,breakfast_brunch,catering
/biz/caracas-arepa-bar-brooklyn;Caracas Arepa Bar;$11-30;705;40.7131776;-73.9574212;291 Grand St Brooklyn NY 11211;Brooklyn;NY;venezuelan
